ID,NAME,GP,PTS,W,L,WIN%,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,+/-,OFF RATING,DEF RATING,NET RATING,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PIE
1610612737,Atlanta Hawks,18,113.1,9,9,50.0,44.6,35.3,81.89999999999999,11.6,36.3,47.9,24.4,14.6,2.3,110.9,109.0,1.9,61.7,1.67,17.3,30.099999999999998,73.2,51.9,14.299999999999999,51.6,56.39999999999999,50.9
1610612738,Boston Celtics,17,112.6,10,7,58.8,47.3,38.1,75.9,11.1,33.4,44.4,22.7,15.1,2.6,112.2,109.2,3.0,53.800000000000004,1.51,16.6,29.099999999999998,73.0,50.7,15.0,54.2,57.199999999999996,50.9
1610612751,Brooklyn Nets,20,119.8,12,8,60.0,49.0,39.300000000000004,81.8,8.6,36.7,45.3,26.5,15.3,4.0,115.0,111.4,3.7,61.3,1.74,18.7,24.099999999999998,71.8,49.6,14.6,57.199999999999996,60.9,52.900000000000006
1610612766,Charlotte Hornets,18,107.7,7,11,38.9,44.7,35.5,73.7,10.9,33.3,44.2,27.9,15.1,-2.0,107.7,109.5,-1.9,71.1,1.85,19.7,27.900000000000002,70.6,49.1,15.1,51.9,55.1,49.0
1610612741,Chicago Bulls,17,115.3,7,10,41.199999999999996,47.4,38.3,79.10000000000001,8.8,35.6,44.5,25.6,18.1,-2.9,109.3,112.8,-3.5,61.0,1.42,17.9,26.5,76.2,51.7,17.1,55.300000000000004,58.699999999999996,49.1
1610612739,Cleveland Cavaliers,18,105.4,9,9,50.0,45.6,36.3,70.19999999999999,11.4,32.2,43.6,23.9,16.3,-3.6,104.7,108.0,-3.3,59.699999999999996,1.46,17.2,28.799999999999997,71.2,49.4,16.2,51.4,54.2,48.0
1610612742,Dallas Mavericks,18,109.3,8,10,44.4,45.6,33.2,75.5,8.5,34.6,43.1,22.4,12.2,-0.9,109.3,110.2,-0.9,56.3,1.84,16.8,22.7,72.89999999999999,47.8,12.2,52.6,56.00000000000001,49.7
1610612743,Denver Nuggets,18,116.4,11,7,61.1,47.8,36.9,76.9,11.6,34.2,45.8,27.2,14.5,5.4,115.2,109.8,5.5,63.0,1.88,19.0,31.1,75.5,53.1,14.399999999999999,54.900000000000006,57.99999999999999,53.0
1610612765,Detroit Pistons,18,109.4,4,14,22.2,42.9,36.3,78.2,10.9,32.6,43.5,24.1,15.1,-4.1,107.9,111.5,-3.6,62.8,1.6,17.2,28.499999999999996,72.0,49.0,14.799999999999999,50.4,54.6,46.9
1610612744,Golden State Warriors,18,113.2,10,8,55.60000000000001,45.2,35.699999999999996,77.2,8.4,35.3,43.8,26.4,14.7,-1.3,108.6,109.8,-1.2,65.5,1.79,18.5,23.400000000000002,70.6,47.3,14.099999999999998,52.6,56.49999999999999,50.1
1610612745,Houston Rockets,16,110.5,7,9,43.8,45.800000000000004,35.3,74.6,8.7,35.3,43.9,22.7,15.8,0.6,108.3,107.5,0.8,56.99999999999999,1.44,16.7,24.2,70.8,48.0,15.4,53.400000000000006,56.8,50.4
1610612754,Indiana Pacers,18,113.7,11,7,61.1,47.699999999999996,36.0,76.8,8.6,34.2,42.8,26.6,13.6,2.8,112.3,109.2,3.1,62.5,1.96,19.1,24.6,72.39999999999999,48.699999999999996,13.4,54.6,57.699999999999996,51.5
1610612746,Los Angeles Clippers,18,113.9,13,5,72.2,48.0,41.8,84.2,9.1,33.9,43.1,24.8,13.9,6.6,116.0,109.2,6.8,60.6,1.79,18.4,26.200000000000003,75.7,51.300000000000004,14.099999999999998,56.599999999999994,60.3,53.1
1610612747,Los Angeles Lakers,19,113.9,14,5,73.7,48.4,38.6,75.2,9.9,36.7,46.6,24.7,14.9,9.3,113.5,104.4,9.2,58.3,1.66,17.9,27.500000000000004,75.6,52.400000000000006,14.799999999999999,55.300000000000004,58.4,54.900000000000006
1610612763,Memphis Grizzlies,13,106.6,7,6,53.800000000000004,45.2,33.300000000000004,76.5,10.6,34.8,45.4,27.2,14.2,-0.7,105.3,106.1,-0.8,65.2,1.91,19.0,28.1,72.89999999999999,50.0,14.099999999999998,50.6,53.400000000000006,50.2
1610612748,Miami Heat,17,106.2,6,11,35.3,46.9,34.4,77.9,6.5,34.5,41.0,25.8,17.4,-5.8,105.1,111.0,-6.0,67.30000000000001,1.48,18.9,21.3,72.6,48.3,17.2,54.7,58.199999999999996,48.4
1610612749,Milwaukee Bucks,17,119.8,11,6,64.7,48.699999999999996,39.300000000000004,73.2,11.1,37.4,48.5,26.5,14.5,8.9,117.8,108.8,9.0,59.4,1.83,18.6,29.4,75.1,52.7,14.2,56.99999999999999,59.4,54.7
1610612750,Minnesota Timberwolves,17,107.4,4,13,23.5,43.5,33.900000000000006,75.7,11.5,32.9,44.4,24.2,15.1,-9.7,104.3,113.3,-9.0,61.1,1.6,17.1,27.6,70.1,48.0,14.7,49.8,53.300000000000004,45.1
1610612740,New Orleans Pelicans,16,109.2,6,10,37.5,46.9,33.7,71.3,11.3,35.6,46.9,22.9,16.1,-1.9,109.3,111.3,-2.1,56.3,1.42,16.6,29.799999999999997,76.3,53.0,16.1,52.900000000000006,56.10000000000001,49.0
1610612752,New York Knicks,19,101.5,8,11,42.1,44.2,34.9,75.5,10.9,36.5,47.4,21.1,14.1,-2.3,105.4,107.4,-2.1,56.10000000000001,1.5,16.1,27.6,73.0,50.8,14.6,49.7,53.400000000000006,48.8
1610612760,Oklahoma City Thunder,17,106.2,8,9,47.099999999999994,45.1,33.5,70.6,7.4,36.9,44.2,22.4,14.2,-6.2,104.5,110.7,-6.3,56.99999999999999,1.57,16.7,20.5,73.4,47.5,14.000000000000002,52.6,55.2,46.7
1610612753,Orlando Magic,19,105.6,8,11,42.1,43.1,34.9,77.9,12.0,34.6,46.6,22.6,13.6,-5.1,105.5,110.7,-5.2,57.3,1.66,16.4,28.4,75.1,50.5,13.600000000000001,49.2,52.7,46.9
1610612755,Philadelphia 76ers,19,113.4,13,6,68.4,47.5,36.1,76.2,10.0,35.8,45.8,24.0,16.3,2.9,110.5,107.4,3.0,57.99999999999999,1.47,17.1,28.199999999999996,72.6,51.300000000000004,15.9,54.0,57.699999999999996,52.400000000000006
1610612756,Phoenix Suns,16,110.2,8,8,50.0,45.9,35.699999999999996,82.3,8.1,35.6,43.7,25.9,13.4,1.6,109.6,108.2,1.4,63.9,1.93,18.9,23.0,75.7,49.4,13.4,53.900000000000006,57.199999999999996,50.8
1610612757,Portland Trail Blazers,16,115.4,9,7,56.3,44.2,37.2,81.39999999999999,9.8,34.1,43.9,21.3,11.6,-0.9,113.7,114.7,-1.0,52.300000000000004,1.84,15.6,26.1,73.4,48.699999999999996,11.4,52.800000000000004,56.699999999999996,47.9
1610612758,Sacramento Kings,17,112.9,7,10,41.199999999999996,47.099999999999994,37.6,71.5,10.2,33.2,43.4,25.2,13.8,-7.4,110.9,118.1,-7.2,60.6,1.83,18.0,26.1,73.3,49.3,13.5,53.800000000000004,56.89999999999999,46.400000000000006
1610612759,San Antonio Spurs,18,111.3,10,8,55.60000000000001,45.2,36.1,78.60000000000001,9.7,36.4,46.1,24.8,10.7,0.9,109.1,108.5,0.6,58.599999999999994,2.31,17.8,23.9,75.2,49.0,10.5,51.2,54.400000000000006,50.7
1610612761,Toronto Raptors,18,110.3,7,11,38.9,43.6,37.7,80.5,10.2,33.1,43.3,24.6,14.8,0.5,109.8,109.5,0.3,63.3,1.66,17.7,27.6,71.8,49.0,14.799999999999999,52.7,56.3,48.6
1610612762,Utah Jazz,18,113.1,14,4,77.8,46.400000000000006,39.7,72.5,11.4,38.2,49.7,23.6,14.7,7.7,114.2,106.7,7.5,57.49999999999999,1.61,17.2,30.3,75.4,53.5,14.799999999999999,55.7,58.099999999999994,53.6
1610612764,Washington Wizards,14,115.7,3,11,21.4,46.300000000000004,36.9,74.4,9.6,33.9,43.5,26.5,13.9,-4.7,110.2,114.6,-4.4,62.7,1.9,18.4,23.9,75.5,48.699999999999996,13.3,53.1,56.49999999999999,47.0
